"","key_0","term","count","marca"
"660","s1021.nmf","quero",1,1
"661","s1021.nmf","relaÃ",1,1
"662","s1021.nmf","solicitaÃ",1,1
"663","s1021.nmf","sua",1,1
"664","s1021.nmf","tinha",1,1
"665","s1021.nmf","tudo",1,1
"666","s1021.nmf","uma",1,1
"667","s1021.nmf","valores",1,1
"668","s1021.nmf","verificar",1,1
"669","s1021.nmf","vocÃ",1,1
"670","s1021.nmf","vou",1,1
"671","s1022.nmf","ajudar",1,1
"672","s1022.nmf","boa",2,1
"673","s1022.nmf","caiu",1,1
"674","s1022.nmf","cansado",1,1
"675","s1022.nmf","com",3,1
"676","s1022.nmf","dia",2,1
"677","s1022.nmf","ent",1,1
"678","s1022.nmf","especialista",2,1
"679","s1022.nmf","falo",2,1
"680","s1022.nmf","fome",1,1
"681","s1022.nmf","linha",1,1
"682","s1022.nmf","nada",1,1
"683","s1022.nmf","noite",2,1
"684","s1022.nmf","pagamento",1,1
"685","s1022.nmf","pagar",1,1
"686","s1022.nmf","para",1,1
"687","s1022.nmf","posso",1,1
"688","s1022.nmf","problema",1,1
"689","s1022.nmf","qual",1,1
"690","s1022.nmf","que",2,1
"691","s1022.nmf","quem",2,1
"692","s1022.nmf","resolvi",1,1
"693","s1022.nmf","rica",2,1
"694","s1022.nmf","saber",1,1
"695","s1022.nmf","vou",1,1
"696","s1023.nmf","atendente",1,1
"697","s1023.nmf","atÃ",1,1
"698","s1023.nmf","baixo",1,1
"699","s1023.nmf","boa",2,1
"700","s1023.nmf","caiu",1,1
"701","s1023.nmf","cancelamento",1,1
"702","s1023.nmf","com",1,1
"703","s1023.nmf","ela",1,1
"704","s1023.nmf","endereÃ",1,1
"705","s1023.nmf","especializado",1,1
"706","s1023.nmf","falo",1,1
"707","s1023.nmf","franquia",1,1
"708","s1023.nmf","hoje",1,1
"709","s1023.nmf","ligaÃ",1,1
"710","s1023.nmf","mais",1,1
"711","s1023.nmf","mudei",1,1
"712","s1023.nmf","noite",2,1
"713","s1023.nmf","oferecer",1,1
"714","s1023.nmf","passada",1,1
"715","s1023.nmf","quem",1,1
"716","s1023.nmf","quer",1,1
"717","s1023.nmf","recuperadora",1,1
"718","s1023.nmf","semana",1,1
"719","s1023.nmf","solicitei",1,1
"720","s1023.nmf","transferï",1,1
"721","s1023.nmf","uma",1,1
"722","s1023.nmf","valor",1,1
"723","s1023.nmf","warley",1,1
"724","s1024.nmf","alÃ",3,1
"725","s1024.nmf","boa",3,1
"726","s1024.nmf","clÃ",2,1
"727","s1024.nmf","com",1,1
"728","s1024.nmf","ele",2,1
"729","s1024.nmf","falar",1,1
"730","s1024.nmf","falo",2,1
"731","s1024.nmf","foto",1,1
"732","s1024.nmf","ligar",1,1
"733","s1024.nmf","minha",1,1
"734","s1024.nmf","noite",3,1
"735","s1024.nmf","novo",1,1
"736","s1024.nmf","pior",1,1
"737","s1024.nmf","pode",1,1
"738","s1024.nmf","prosseguir",1,1
"739","s1024.nmf","que",3,1
